Date,X,Y,Dec,RA
7/1/2020,1744,459,,
7/2/2020,1723,435,,
7/3/2020,1700,410,,
7/4/2020,1674,388,,
7/5/2020,1645,367,,
7/6/2020,1613,346,,
7/7/2020,1578,327,,
7/8/2020,1539,311,,
7/9/2020,1497,296,,
7/10/2020,1453,283,,
7/11/2020,1403,271,,
7/12/2020,1352,262,,
7/13/2020,1296,254,,
7/14/2020,1236,248,,
7/15/2020,1174,245,,
7/16/2020,1108,242,,
7/17/2020,1039,242,,
7/18/2020,968,244,,
7/19/2020,904,247,,
7/20/2020,818,252,,
7/21/2020,742,259,,
7/22/2020,664,266,,
7/23/2020,587,275,,
7/24/2020,511,285,,
7/25/2020,435,295,,
7/26/2020,360,305,,
7/27/2020,288,315,,
7/28/2020,218,325,,
7/29/2020,152,334,,
7/30/2020,87,342,,
